EnhancedParallelBlockIII_5,256,13405100
SequentialBlockIV_3,256,28660600
ParallelBlockIV_4,256,11747200
EnhancedParallelBlockIV_5,256,12363000
SequentialBlockV_3,256,27792000
ParallelBlockV_4,256,19729800
NaivOnArray,512,183246000
NaivLoopUnrollingTwo,512,165352900
NaivLoopUnrollingFour,512,150678900
WinogradOriginal,512,157557700
WinogradScaled,512,173090900
StrassenNaiv,512,95943700
StrassenWinograd,512,98896100
SequentialBlockIII_3,512,171777400
ParallelBlockIII_4,512,27958700
EnhancedParallelBlockIII_5,512,23208300
SequentialBlockIV_3,512,184150900
ParallelBlockIV_4,512,24833700
EnhancedParallelBlockIV_5,512,29049800
SequentialBlockV_3,512,234509600
ParallelBlockV_4,512,54991600
NaivOnArray,256,24169300
NaivLoopUnrollingTwo,256,19816900
NaivLoopUnrollingFour,256,21705900
WinogradOriginal,256,20971800
WinogradScaled,256,18808900
StrassenNaiv,256,16488700
StrassenWinograd,256,17176000
SequentialBlockIII_3,256,23071400
ParallelBlockIII_4,256,13078300
EnhancedParallelBlockIII_5,256,13713500
SequentialBlockIV_3,256,22525900
ParallelBlockIV_4,256,15784800
EnhancedParallelBlockIV_5,256,14599400
SequentialBlockV_3,256,27954100
ParallelBlockV_4,256,19359800
NaivOnArray,512,211563900
NaivLoopUnrollingTwo,512,163987700
NaivLoopUnrollingFour,512,139240300
WinogradOriginal,512,157270300
WinogradScaled,512,169810500
StrassenNaiv,512,96139800
StrassenWinograd,512,97617700
SequentialBlockIII_3,512,122477200
ParallelBlockIII_4,512,26130000
EnhancedParallelBlockIII_5,512,23582700
SequentialBlockIV_3,512,162279300
ParallelBlockIV_4,512,23921900
EnhancedParallelBlockIV_5,512,25052500
SequentialBlockV_3,512,224951200
ParallelBlockV_4,512,43426500
NaivOnArray,256,25319800
NaivLoopUnrollingTwo,256,20597400
NaivLoopUnrollingFour,256,21006300
WinogradOriginal,256,20581700
WinogradScaled,256,18566700
StrassenNaiv,256,16542600
StrassenWinograd,256,20039200
SequentialBlockIII_3,256,22024300
ParallelBlockIII_4,256,21530900
EnhancedParallelBlockIII_5,256,12236300
SequentialBlockIV_3,256,24374400
ParallelBlockIV_4,256,17171800
EnhancedParallelBlockIV_5,256,15360400
SequentialBlockV_3,256,25980500
ParallelBlockV_4,256,22051000
NaivOnArray,512,214968400
NaivLoopUnrollingTwo,512,177655500
NaivLoopUnrollingFour,512,146210500
WinogradOriginal,512,174896600
WinogradScaled,512,185323800
StrassenNaiv,512,97463600
StrassenWinograd,512,102632900
SequentialBlockIII_3,512,133931000
ParallelBlockIII_4,512,35662200
EnhancedParallelBlockIII_5,512,26958300
SequentialBlockIV_3,512,169509000
ParallelBlockIV_4,512,24854400
EnhancedParallelBlockIV_5,512,26942400
